,R,d,R_lower,d_lower,R_upper,d_upper,upsilon,X_C,upsilon_lower,X_C_lower,upsilon_upper,X_C_upper,f_E,f_E_lower,f_E_upper,f_S,X_S,f_S_lower,X_S_lower,f_S_upper,X_S_upper
BD-ML,1.3783583759108669,4.205597998196465,1.1201024063588552,3.7141296379234663,1.7071259116412385,4.803511763730552,,,,,,,,,,,,,,,
BD,1.3952745199203491,3.9803800430547085,1.2088528871536255,3.23099173783597,1.5791219472885132,4.954583936638762,,,,,,,,,,,,,,,
BDCT,1.4582229852676392,4.4892814819182485,1.2811042070388794,3.8091979942409573,1.7532271146774292,5.459390114777891,0.17888623,77.33657,0.08192092,34.169796,0.37339833,103.72506,,,,,,,,,
BDEI,1.6210243701934814,5.78972922932075,1.1122522354125977,4.730765255612076,2.4487671852111816,7.833371962171578,,,,,,,0.96285176,0.89454895,1.0,,,,,,
BDEICT,1.6849104166030884,7.370857385731384,1.1814006567001343,5.487998608162285,2.700376272201538,9.536049052536596,0.7027287,76.95787,0.52438277,39.882385,0.74781907,101.78363,0.9519844,0.88293946,0.9733701,,,,,,
BDSS,1.5747952461242676,5.2416864761616955,1.213984489440918,3.9537642353471893,2.146308183670044,6.976490777773012,,,,,,,,,,0.03578108,15.297277,0.0012497719,10.540957,0.122527994,21.749706
BDSSCT,1.637581706047058,4.924790745518616,1.2037748098373413,3.3589281796267287,2.3245558738708496,7.1913847107681415,0.25416127,67.41673,0.12017744,29.048912,0.52657557,104.087776,,,,0.040683452,18.476637,0.016539684,12.656824,0.1798009,23.050032
BDEISS,1.744625449180603,6.0230062992269255,1.2505522966384888,4.032127775632368,2.980170965194702,8.231783402170564,,,,,,,0.9085879,0.7859367,0.990098,0.23002407,7.18653,0.026379475,2.1487393,0.48503622,18.81448
BDEISSCT,1.7539769411087036,7.302537056524348,1.2115153074264526,5.895298291847095,2.9350738525390625,10.805379667702569,0.63564104,80.3822,0.1420274,30.174887,0.77236706,110.18716,0.984209,0.5365301,1.0,0.0030946794,1.1336944,0.0,1.0,0.42865577,9.674613
BDSS-Xie,1.59,4.64,1.33,3.37,1.99,8.24,,,,,,,,,,0.09,8.08,0.05,3.91,0.17,17.73
Epi-Xie,1.69,,1.65,,1.74,,,,,,,,,,,,,,,,
